gender,ignored_number,color
M,1,Safety Orange
M,2,Gold
M,3,Electric Blue
M,4,Maroon
M,5,Forest
M,6,Safety Yellow
M,7,Hot Pink
M,8,Silver
M,9,Purple
M,10,White
M,11,Red
M,12,Lime
M,13,Kelly Green
M,14,Columbia
M,15,Navy
M,16,Graphite
M,17,Gold
M,18,Safety Orange
M,19,Graphite
M,20,Navy
M,21,Columbia
M,22,Kelly Green
M,23,Lime
M,24,Red
M,25,White
M,26,Purple
M,27,Silver
M,28,Hot Pink
M,29,Safety Yellow
M,30,Forest
M,31,Maroon
M,32,Electric Blue
M,33,Safety Orange
M,34,Gold
M,35,Electric Blue
M,36,Maroon
M,37,Forest
M,38,Safety Yellow
M,39,Hot Pink
M,40,Silver
M,41,Purple
M,42,White
M,43,Red
M,44,Lime
M,45,Kelly Green
M,46,Columbia
M,47,Navy
M,48,Graphite
M,49,Graphite
M,50,Navy
M,51,Columbia
M,52,Kelly Green
M,53,Lime
M,54,Red
M,55,White
M,56,Purple
M,57,Silver
M,58,Hot Pink
M,59,Safety Yellow
M,60,Forest
M,61,Maroon
M,62,Electric Blue
M,63,Gold
M,64,Safety Orange
M,65,Safety Orange
M,66,Gold
M,67,Electric Blue
M,68,Maroon
M,69,Forest
M,70,Safety Yellow
M,71,Hot Pink
M,72,Silver
M,73,Purple
M,74,White
M,75,Red
M,76,Lime
M,77,Kelly Green
M,78,Columbia
M,79,Navy
M,80,Graphite
M,81,Graphite
M,82,Navy
M,83,Columbia
M,84,Kelly Green
M,85,Lime
M,86,Red
M,87,White
M,88,Purple
M,89,Silver
M,90,Hot Pink
M,91,Safety Yellow
M,92,Forest
M,93,Maroon
M,94,Electric Blue
M,95,Gold
M,96,Safety Orange
M,97,Safety Orange
M,98,Gold
M,99,Electric Blue
M,100,Maroon
M,101,Forest
M,102,Safety Yellow
M,103,Hot Pink
M,104,Silver
M,105,Purple
M,106,White
M,107,Red
M,108,Lime
M,109,Kelly Green
M,110,Columbia
M,111,Navy
M,112,Graphite
M,113,Graphite
M,114,Navy
M,115,Columbia
M,116,Kelly Green
M,117,Lime
M,118,Red
M,119,White
M,120,Purple
M,121,Silver
M,122,Hot Pink
M,123,Safety Yellow
M,124,Forest
M,125,Maroon
M,126,Electric Blue
M,127,Gold
M,128,Safety Orange
M,129,Safety Orange
M,130,Gold
M,131,Electric Blue
M,132,Maroon
M,133,Forest
M,134,Safety Yellow
M,135,Hot Pink
M,136,Silver
M,137,Purple
M,138,White
M,139,Red
M,140,Lime
M,141,Kelly Green
M,142,Columbia
M,143,Navy
M,144,Graphite
M,145,Graphite
M,146,Navy
M,147,Columbia
M,148,Kelly Green
M,149,Lime
M,150,Red
M,151,White
M,152,Purple
M,153,Silver
M,154,Hot Pink
M,155,Safety Yellow
M,156,Forest
M,157,Maroon
M,158,Electric Blue
M,159,Gold
M,160,Safety Orange
M,161,Safety Orange
M,162,Gold
M,163,Electric Blue
M,164,Maroon
M,165,Forest
M,166,Safety Yellow
M,167,Hot Pink
M,168,Silver
M,169,Purple
M,170,White
M,171,Red
M,172,Lime
M,173,Kelly Green
M,174,Columbia
M,175,Navy
M,176,Graphite
M,177,Graphite
M,178,Navy
M,179,Columbia
M,180,Kelly Green
M,181,Lime
M,182,Red
M,183,White
M,184,Purple
M,185,Silver
M,186,Hot Pink
M,187,Safety Yellow
M,188,Forest
M,189,Maroon
M,190,Electric Blue
M,191,Gold
M,192,Safety Orange
M,193,Safety Orange
M,194,Gold
M,195,Electric Blue
M,196,Maroon
M,197,Forest
M,198,Safety Yellow
M,199,Hot Pink
M,200,Silver
M,201,Purple
M,202,White
M,203,Red
M,204,Lime
M,205,Kelly Green
M,206,Columbia
M,207,Navy
M,208,Graphite
M,209,Graphite
M,210,Navy
M,211,Columbia
M,212,Kelly Green
M,213,Lime
M,214,Red
M,215,White
M,216,Purple
M,217,Silver
M,218,Hot Pink
M,219,Safety Yellow
M,220,Forest
M,221,Maroon
M,222,Electric Blue
M,223,Gold
M,224,Safety Orange
M,225,Safety Orange
M,226,Gold
M,227,Electric Blue
M,228,Maroon
M,229,Forest
M,230,Safety Yellow
M,231,Hot Pink
M,232,Silver
M,233,Purple
M,234,White
M,235,Red
M,236,Lime
M,237,Kelly Green
M,238,Columbia
M,239,Navy
M,240,Graphite
F,1,White
F,2,Maroon
F,3,Electric Blue
F,4,Forest
F,5,Silver
F,6,Kelly Green
F,7,Red
F,8,Safety Orange
F,9,Gold
F,10,Purple
F,11,Columbia
F,12,Safety Yellow
F,13,Hot Pink
F,14,Graphite
F,15,Navy
F,16,Navy
F,17,Graphite
F,18,Hot Pink
F,19,Safety Yellow
F,20,Columbia
F,21,Purple
F,22,Gold
F,23,Safety Orange
F,24,Red
F,25,Kelly Green
F,26,Silver
F,27,Forest
F,28,Electric Blue
F,29,Maroon
F,30,White
F,31,White
F,32,Maroon
F,33,Electric Blue
F,34,Forest
F,35,Silver
F,36,Kelly Green
F,37,Red
F,38,Safety Orange
F,39,Gold
F,40,Purple
F,41,Columbia
F,42,Safety Yellow
F,43,Hot Pink
F,44,Graphite
F,45,Navy
F,46,Navy
F,47,Graphite
F,48,Hot Pink
F,49,Safety Yellow
F,50,Columbia
F,51,Purple
F,52,Gold
F,53,Safety Orange
F,54,Red
F,55,Kelly Green
F,56,Silver
F,57,Forest
F,58,Electric Blue
F,59,Maroon
F,60,White
F,61,White
F,62,Maroon
F,63,Electric Blue
F,64,Forest
F,65,Silver
F,66,Kelly Green
F,67,Red
F,68,Safety Orange
F,69,Gold
F,70,Purple
F,71,Columbia
F,72,Safety Yellow
F,73,Hot Pink
F,74,Graphite
F,75,Navy
F,76,Navy
F,77,Graphite
F,78,Hot Pink
F,79,Safety Yellow
F,80,Columbia
F,81,Purple
F,82,Gold
F,83,Safety Orange
F,84,Red
F,85,Kelly Green
F,86,Silver
F,87,Forest
F,88,Electric Blue
F,89,Maroon
F,90,White
F,91,White
F,92,Maroon
F,93,Electric Blue
F,94,Forest
F,95,Silver
F,96,Kelly Green
F,97,Red
F,98,Safety Orange
F,99,Gold
F,100,Purple
F,101,Columbia
F,102,Safety Yellow
F,103,Hot Pink
F,104,Graphite
F,105,Navy
F,106,Navy
F,107,Graphite
F,108,Hot Pink
F,109,Safety Yellow
F,110,Columbia
F,111,Purple
F,112,Gold
F,113,Safety Orange
F,114,Red
F,115,Kelly Green
F,116,Silver
F,117,Forest
F,118,Electric Blue
F,119,Maroon
F,120,White
